bin	presence	KO
bin.008	1	K14162
bin.008	1	K02316
bin.008	1	K00666
bin.008	1	K09895
bin.008	1	K09892
bin.008	1	K09888
bin.008	1	K01807
bin.008	1	K03549
bin.008	1	K07799
bin.008	1	K02035
bin.008	1	K01119
bin.008	1	K02004
bin.008	1	K02004
bin.008	1	K00721
bin.008	1	K05337
bin.008	1	K02014
bin.008	1	K02337
bin.008	1	K03496
bin.008	1	K08151
bin.008	1	K07304
bin.008	1	K07305
bin.008	1	K03496
bin.008	1	K08970
bin.008	1	K04091
bin.008	1	K02014
bin.008	1	K00705
bin.008	1	K03392
bin.008	1	K00936
bin.008	1	K00311
bin.008	1	K02032
bin.008	1	K00571
bin.008	1	K02014
bin.008	1	K02409
bin.008	1	K02389
bin.008	1	K02048
bin.008	1	K02014
bin.008	1	K00666
bin.008	1	K07303
bin.008	1	K02004
bin.008	1	K07481
bin.008	1	K00948
bin.008	1	K02897
bin.008	1	K01711
bin.008	1	K09761
bin.008	1	K07062
bin.008	1	K06937
bin.008	1	K02014
bin.008	1	K01915
bin.008	1	K07045
bin.008	1	K01243
bin.008	1	K07493
bin.008	1	K19244
bin.008	1	K13795
bin.008	1	K07171
bin.008	1	K02014
bin.008	1	K00799
bin.008	1	K03497
bin.008	1	K07497
bin.008	1	K02275
bin.008	1	K02274
bin.008	1	K00666
bin.008	1	K02391
bin.008	1	K02390
bin.008	1	K03043
bin.008	1	K03046
bin.008	1	K01560
bin.008	1	K02014
bin.008	1	K00412
bin.008	1	K02256
bin.008	1	K00389
bin.008	1	K03320
bin.008	1	K01921
bin.008	1	K02351
bin.008	1	K15408
bin.008	1	K02274
bin.008	1	K02167
bin.008	1	K11075
bin.008	1	K03878
bin.008	1	K03878
bin.008	1	K07304
bin.008	1	K07305
bin.008	1	K13924
bin.008	1	K13924
bin.008	1	K02071
bin.008	1	K17228
bin.008	1	K18229
bin.008	1	K00641
bin.008	1	K03379
bin.008	1	K03088
bin.008	1	K03200
bin.008	1	K02037
bin.008	1	K02038
bin.008	1	K01952
bin.008	1	K01523
bin.008	1	K02058
bin.008	1	K09892
bin.008	1	K01262
bin.008	1	K09895
bin.008	1	K03316
bin.008	1	K03316
bin.008	1	K02014
bin.008	1	K07315
bin.008	1	K11903
bin.008	1	K11907
bin.008	1	K10439
bin.008	1	K06147
bin.008	1	K07483
bin.008	1	K07484
bin.008	1	K00986
bin.008	1	K18242
bin.008	1	K03392
bin.008	1	K01523
bin.008	1	K01589
bin.008	1	K00847
bin.008	1	K09022
bin.008	1	K01919
bin.008	1	K19302
bin.008	1	K04043
bin.008	1	K03747
bin.008	1	K03168
bin.008	1	K07498
bin.008	1	K00123
bin.008	1	K00936
bin.008	1	K07492
bin.008	1	K05524
bin.008	1	K02274
bin.008	1	K07497
bin.008	1	K06207
bin.008	1	K02014
bin.008	1	K01687
bin.008	1	K03446
bin.008	1	K01768
bin.008	1	K00540
bin.008	1	K03771
bin.008	1	K07486
bin.008	1	K07484
bin.008	1	K07483
bin.008	1	K00101
bin.008	1	K02990
bin.008	1	K02939
bin.008	1	K02963
bin.008	1	K03559
bin.008	1	K03559
bin.008	1	K02014
bin.008	1	K00114
bin.008	1	K06168
bin.008	1	K08999
bin.008	1	K09696
bin.008	1	K03412
bin.008	1	K02529
bin.008	1	K02027
bin.008	1	K02481
bin.008	1	K02481
bin.008	1	K03832
bin.008	1	K02358
bin.008	1	K02946
bin.008	1	K02906
bin.008	1	K02926
bin.008	1	K03530
bin.008	1	K01338
bin.008	1	K00643
bin.008	1	K02407
bin.008	1	K02406
bin.008	1	K00411
bin.008	1	K00412
bin.008	1	K01975
bin.008	1	K03553
bin.008	1	K02668
bin.008	1	K07497
bin.008	1	K07497
bin.008	1	K07734
bin.008	1	K05874
bin.008	1	K07484
bin.008	1	K07483
bin.008	1	K01578
bin.008	1	K03406
bin.008	1	K03438
bin.008	1	K03925
bin.008	1	K02396
bin.008	1	K02397
bin.008	1	K07788
bin.008	1	K07045
bin.008	1	K06151
bin.008	1	K08178
bin.008	1	K07062
bin.008	1	K00384
bin.008	1	K03702
bin.008	1	K08679
bin.008	1	K07052
bin.008	1	K07506
bin.008	1	K10680
bin.008	1	K19221
bin.008	1	K02014
bin.008	1	K00384
bin.008	1	K01692
bin.008	1	K05973
bin.008	1	K03306
bin.008	1	K02967
bin.008	1	K01265
bin.008	1	K02529
bin.008	1	K03088
bin.008	1	K03781
bin.008	1	K03781
bin.008	1	K08884
bin.008	1	K02262
bin.008	1	K01354
bin.008	1	K03086
bin.008	1	K03306
bin.008	1	K00537
bin.008	1	K10979
bin.008	1	K02050
bin.008	1	K07454
bin.008	1	K01273
bin.008	1	K03767
bin.008	1	K19353
bin.008	1	K02650
bin.008	1	K07492
bin.008	1	K08884
bin.008	1	K16557
bin.008	1	K03271
bin.008	1	K07497
bin.008	1	K00154
bin.008	1	K00660
bin.008	1	K04047
bin.008	1	K00024
bin.008	1	K02483
bin.008	1	K02479
bin.008	1	K06400
bin.008	1	K03073
bin.008	1	K02601
bin.008	1	K02867
bin.008	1	K06942
bin.008	1	K02313
bin.008	1	K08995
bin.008	1	K06912
bin.008	1	K07483
bin.008	1	K07484
bin.008	1	K01623
bin.008	1	K01623
bin.008	1	K07483
bin.008	1	K02517
bin.008	1	K07483
bin.008	1	K03199
bin.008	1	K06911
bin.008	1	K07667
bin.008	1	K01546
bin.008	1	K07497
bin.008	1	K07483
bin.008	1	K02674
bin.008	1	K02014
